"year","ECONOMIC.FREEDOM","rank","quartile","X1a_government_consumption","X1b_transfers","X1c_gov_enterprises","X1d_top_marg_tax_rate","X1_size_government","X2a_judicial_independence","X2b_impartial_courts","X2c_protection_property_rights","X2d_military_interference","X2e_integrity_legal_system","X2f_legal_enforcement_contracts","X2g_restrictions_sale_real_property","X2h_reliability_police","X2i_business_costs_crime","X2j_gender_adjustment","X2_property_rights","X3a_money_growth","X3b_std_inflation","X3c_inflation","X3d_freedom_own_foreign_currency","X3_sound_money","X4a_tariffs","X4b_regulatory_trade_barriers","X4c_black_market","X4d_control_movement_capital_ppl","X4_trade","X5a_credit_market_reg","X5b_labor_market_reg","X5c_business_reg","X5_regulation","continent"
2004,6.15,88,3,4.289451585,8.053950954,8,5.5,6.460850635,3.341194969,3.616352201,3.680884676,6.666666667,3.47,4.81963627,8.289957745,4.4285543405,3.45765993741667,1,4.840670361,7.942374879,8.881271963,8.680400096,5,7.626011735,7.237777778,5.978224513,9.03930131,5.506221719,6.94038133,6.331956946,4.116766641,4.177268778,4.875330788,"South America"
2003,6.16,86,3,7.264991791,7.007587804,10,7,7.818144899,1.833333333,2,2.5,6.666666667,3.3333,5.015583364,6.735160227,2.96151378141667,4.13942663741667,1,4.012006227,7.145858674,4.549137282,7.311564188,5,6.001640036,6.458,5.583333333,10,5.58974359,6.907769231,7.542254105,5.311111111,5.354500132,6.069288449,"South America"
2012,7.81,11,1,7,8.011754583,10,7,8.002938646,7.147940583,5.876740469,6.8413365,7.5,7.5,5.109379145,9.066918247,8.611798813,6.191453167,0.896551724,6.727023335,8.330399236,7.755155893,9.398,10,8.870888782,9.466222222,7.245905776,10,5.395825766,8.026988441,9.333333333,5.29690595,7.66487206,7.431703781,"South America"
2003,6.53,69,3,8.098747372,9.040871935,4,10,7.784904827,1.666666667,1.833333333,2,3.333333333,3.3333,4.187770031,8.435414126,2.38858831308333,4.01924498525,1,3.541402499,7.856918574,7.419552429,7.154724993,10,8.107798999,7.76454245,6.25,10,7.532051282,7.886648433,7.620392481,3.264791483,5.050198942,5.311794302,"South America"
2003,6.08,92,3,4.128711237,8.117983651,8,5.5,6.436673722,5.166666667,4.666666667,4.5,6.666666667,3.333333333,4.668907737,8.092731002,4.4285543405,3.45765993741667,1,5.299281725,7.936995573,8.576719839,7.057108298,5,7.142705928,7.117777778,5.5,9.163763066,5.641025641,6.855641621,5.760444025,4.255918826,3.968276693,4.661546515,"South America"
2010,7.64,17,1,7.732352941,9.368119891,7,6,7.525118208,2.695934753,3.473572491,4.782540316,7.5,5.833333333,5.06986844,8.782958255,3.690612789,4.071508642,1,5.100036558,8.421059261,8.972289629,9.694335881,10,9.271921193,8.606488889,7.448116153,10,8.459057478,8.62841563,9.333333333,7.128636321,6.540700958,7.667556871,"South America"
2009,5.82,123,4,5.705882353,6.443759709,6,5,5.787410515,2.604470904,2.400408653,2.754379759,7.5,4.166666667,5.015583364,6.716260989,3.361259081,4.525451061,0.962962963,4.257937172,7.801962338,8.502523776,6.8,5,7.026121528,6.26,5.562070756,10,3.81633251,6.409600816,6.958996608,5.324280848,4.640870828,5.641382761,"South America"
1995,5,97,4,5.644691182,0,2,5.5,4.381563727,3.57444071753846,5.312297141,3.7448162718125,5.790367925,4.107142857,4.548367217,7.48437358630769,2.97254118416667,3.47546058258333,0.923076923,4.874938437,6.97604102,0,7.766,5,4.935510255,6.32535873019048,5.81579366269231,9.2,5,6.54039064265,4.897897898,7.6204143314,6.03629394676923,5.794076717,"South America"
1985,5.06,62,3,7.815593625,8.9373297,2,5,5.938230831,3.79131827677778,3.99328925272222,4.8,3.35437578255556,1.4,1.96085720605882,8.90223334452941,5.07924306325,3.04744748491667,1,3.396095274,7.403367727,9.328,5.02,5,6.687841932,4.14,5.75169659255556,8.2,0,4.113333333,8,5.4467099305,6.24874575038889,5.157306667,"South America"
1995,5.48,79,3,6.311977306,9.019073569,4,8,6.832762719,3.716666667,3.516666667,4.13,2.878764091,0,1.96085720605882,8.90223334452941,5.07924306325,3.04744748491667,1,2.848419485,6.071591261,9.152,6.042,0,5.316397815,7.806666667,5.15,8.6,6.02,6.894166667,8.036036036,4.754166667,3.757077778,5.51576016,"South America"
2015,4.98,153,4,5.285294118,6.048930423,6,4,5.333556135,3.030578338,2.894794941,3.655030465,7.5,3.333333333,4.123465983,6.857195103,3.280141751,4.152791353,0.769230769,3.81636162,5.179317925,5.918005001,4.724,10,6.455330731,5.820711111,4.59670072,0,4.505738092,3.730787481,6.762,4.965897521,4.920120936,5.549339485,"South America"
2014,4.49,158,4,5.652941176,4.123313708,6,4,4.944063721,2.396666757,2.514684129,3.126702452,7.5,3.333333333,4.651,6.857195103,2.800509913,3.892287135,0.810810811,3.729503575,6.160117963,5.682863948,2.2654,5,4.777095478,5.820711111,3.839825867,0,4.738058136,3.599648778,6.186666667,5.266963335,4.711207217,5.388279073,"South America"
2010,6.74,84,3,5.529411765,8.101634877,10,5,7.157761661,4.172987791,3.926426873,4.854888896,3.333333333,3.333333333,2.089536013,9.059088963,5.556678233,2.92612006,0.962962963,4.280610813,8.965863016,9.301051361,9.544355968,5,8.202817586,7.307777778,6.561610614,9.023136247,4.884441995,6.944241658,8.487334605,5.92453295,6.976084737,7.129317431,"South America"
2011,6.82,86,3,5.705882353,8.595367847,10,4.5,7.20031255,3.610044042,3.852063548,4.674747142,3.333333333,3.333333333,2.089536013,9.059088963,5.272797438,2.975510327,0.962962963,4.165893147,9.035681309,9.252059493,9.318,5,8.1514352,7.911733333,6.339229867,9.003595275,5.820488253,7.268761682,9.150611285,5.790902682,6.950689415,7.297401127,"South America"
2003,6.62,96.2857142857143,3,1.61554621842857,8.66690410842857,9.28571428571429,5,6.19915605657143,4.67240397785714,4.07035426542857,4.78152959557143,5.21428571428571,5,2.74579217628571,3.15655439842857,6.911833296,6.18128577114286,0.974358974,4.67042864371429,9.63472013457143,7.18441350628571,7.37510960557143,10,8.54856081157143,7.48727619057143,6.566549449,10,3.56644548585714,6.90506778142857,7.724098861,7.66574244085714,4.91342203,6.76775444385714,"South America"
1990,6.6,31,2,6.832583642,6.866485014,7,10,7.674767164,7.0748733176875,5.11175096733333,5.9,6.96831234222222,8.3,3.84060653264706,6.42653492288235,5.19762443608333,5.34981235441667,1,6.275098081,0,5.028,0,10,3.757,5.935555556,6.41133748894118,10,10,8.645185185,7.666666667,6.23815071817647,6.25590529823529,6.6251775,"South America"
1990,6.62,96.2857142857143,3,1.61554621842857,8.66690410842857,9.28571428571429,5,6.19915605657143,4.67240397785714,4.07035426542857,4.78152959557143,5.21428571428571,5,2.74579217628571,3.15655439842857,6.911833296,6.18128577114286,0.974358974,4.67042864371429,9.63472013457143,7.18441350628571,7.37510960557143,10,8.54856081157143,7.48727619057143,6.566549449,10,3.56644548585714,6.90506778142857,7.724098861,7.66574244085714,4.91342203,6.76775444385714,"South America"
2003,7.01,51,2,7.704059368,4.9,7,10,7.401014842,6.666666667,4.333333333,4.333333333,8.333333333,5,3.883944765,6.418800541,5.19762443608333,5.34981235441667,1,5.567058853,8.895348305,6.918274858,6.124053965,10,7.984419282,7.471111111,6.416666667,10,7.562833333,7.862652778,5.719047286,7.054351093,5.993319387,6.255572589,"South America"
2015,6.85,81,3,1.732352941,8.584782918,10,5,6.329283965,4.231635431,5.1,5.564618707,5,5,2.745757539,3.493336875,8.009479538,7.078947226,0.974358974,5.070129201,9.61505847,7.214717429,8.62003907,10,8.862453742,7.479288889,6.6960796,10,4.643449254,7.204704436,7.988666667,7.288025439,5.001935179,6.759542428,"South America"
1995,7.37,22,1,7.770978169,7.419618529,8,6,7.297649174,6.616666667,7.066666667,5.6,7.510387777,6.964285714,5.10935684235294,9.002629123,8.36808456125,5.94715424316667,0.777777778,6.001423436,8.065745036,8.4,8.136,10,8.650436259,8.491111111,7.05,9.6,6.49125,7.908090278,9.286619953,5.274366667,6.425988889,6.995658503,"South America"
1985,6.62,96.2857142857143,3,1.61554621842857,8.66690410842857,9.28571428571429,5,6.19915605657143,4.67240397785714,4.07035426542857,4.78152959557143,5.21428571428571,5,2.74579217628571,3.15655439842857,6.911833296,6.18128577114286,0.974358974,4.67042864371429,9.63472013457143,7.18441350628571,7.37510960557143,10,8.54856081157143,7.48727619057143,6.566549449,10,3.56644548585714,6.90506778142857,7.724098861,7.66574244085714,4.91342203,6.76775444385714,"South America"
2008,7.12,58,2,7.532352941,6.730245232,7,8,7.315649543,6.990744974,4.644441667,6.372336174,6.666666667,4.166666667,3.883944765,6.418800541,5.141529605,6.329879804,1,5.623890096,6.715069508,8.648557775,8.427809654,10,8.447859234,7.803555556,6.534553009,10,7.881970614,8.055019795,6.553466269,6.184953101,5.748000758,6.162140043,"South America"
2006,6.37,99,3,6.214705882,8.599455041,0,10,6.203540231,2.39355625,2.277721354,3.474641715,5,5,3.993334023,6.650585088,2.152460998,4.648378051,0.888888889,3.73482418,6.914467214,8.589897199,9.143928961,10,8.662073343,8.790222222,5.097751851,10,5.267687859,7.288915483,9.333333333,4.250236763,4.349275567,5.977615221,"South America"
1975,4.19,56,4,7.705882353,4.713896458,4,5,5.354944703,4.52471324544444,4.07689372355556,5.9,6.5991729465,4.06829931952381,4.39592355541176,8.31345887005882,4.4285543405,3.45765993741667,0.555555556,4.200876769,5.447538964,7.336,3.21,0,3.998384741,6.2,5.93647284877778,0.2,0,2.133333333,6.469469469,4.38589586726316,3.93225621566667,5.249670979,"South America"
